repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,main-category,sub-category,liveness,unique-contributors,new-commits-last-30d
uptrace/uptrace,3650,50,22,11,2,13.699,0,5,1236,32,Go,false,58,Applications,,72.000,2,7
SigNoz/signoz,21849,429,202,121,15,19.635,0,0,1589,168,TypeScript,false,75,Applications,,100.000,21,134
highlight/highlight,8232,105,54,28,1,12.755,0,2,1725,70,TypeScript,false,0,Applications,,100.000,5,8
hyperdxio/hyperdx,7824,112,58,23,7,14.315,0,5,607,15,TypeScript,false,0,Applications,,94.000,3,3
openobserve/openobserve,15097,237,113,57,3,15.698,0,0,830,74,Rust,false,144,Applications,,100.000,20,133
VictoriaMetrics/VictoriaMetrics,13981,284,95,54,4,20.313,0,0,2415,323,Go,false,36,Applications,,100.000,26,253
quickwit-oss/quickwit,9990,121,51,27,2,12.112,0,4,1489,95,Rust,false,0,Applications,,96.000,6,12
grafana/tempo,4444,63,32,18,2,14.176,0,2,1934,1226,Go,false,112,Applications,,100.000,15,85
jaegertracing/jaeger,21305,133,63,30,5,6.243,0,0,3313,403,Go,false,108,Applications,,100.000,9,68
openzipkin/zipkin,17190,33,16,11,2,1.920,0,14,4722,172,Java,false,0,Applications,,47.000,2,4
keyval-dev/odigos,3424,37,16,2,0,10.806,5,0,1068,68,Go,false,0,Applications,,85.000,10,110
coroot/coroot,6446,202,36,17,1,31.337,0,3,993,17,Go,false,40,Applications,,90.000,2,34
